visit_id,member_id,location_id,visited_at,wash_type,channel,_loaded_at
f22b7748-251b-46f9-857b-debd2563813a,a766884c-51dd-4c6f-8cd1-45c1ac072bd4,LOC003,2025-04-28 14:51:35,Ultimate,LICENSE_PLATE,2026-03-10 09:00:23
d83c9cfa-8c5c-446e-a975-d92a9cb433df,9698cd9b-f4da-448d-ba71-b919768d02f4,LOC008,2024-02-21 13:45:46,Deluxe,LICENSE_PLATE,2026-03-10 09:00:23
edb9a4a1-53fb-49cd-80dd-e0e6ef84acd5,33295116-1f0a-4805-9672-36c0b77f7e0a,LOC002,2023-01-13 08:08:20,Deluxe,LICENSE_PLATE,2026-03-10 09:00:23
655e719b-c1d9-4333-b299-674b4270e97b,9e76bd4b-dca4-4fc2-a32c-3be2c10e497f,LOC003,2021-10-09 20:49:35,Deluxe,RFID,2026-03-10 09:00:23
7da00deb-134e-4443-87d6-6a6acd4701c8,4aac152e-b33a-4edc-a24e-2fbb41c4cf06,LOC002,2024-03-07 20:03:53,Basic,LICENSE_PLATE,2026-03-10 09:00:23
b8b24a83-573d-4946-80ac-de13a1b3fec9,9bcf253c-d9e4-479c-ba5d-9dbeb36ba15c,LOC004,2022-04-12 12:59:45,Ultimate,APP,2026-03-10 09:00:23
fd91595c-9cc5-4121-bf87-2380ef982a53,9e76bd4b-dca4-4fc2-a32c-3be2c10e497f,LOC005,2021-09-14 11:12:40,Deluxe,APP,2026-03-10 09:00:23
31d0bcf9-7bbf-4721-9695-79f7e33e75e1,9bcf253c-d9e4-479c-ba5d-9dbeb36ba15c,LOC003,2023-08-30 08:32:41,Ultimate,LICENSE_PLATE,2026-03-10 09:00:23
e2cc4abf-0785-4d31-bcb9-b593dafe084f,3337878c-7f55-4fd5-8398-ce0ff063ed7d,LOC006,2022-03-17 17:39:46,Ultimate,RFID,2026-03-10 09:00:23
243d2e4d-73e9-441d-8fac-484b21dac1bb,a865f6de-f9fd-4cfc-91c7-879fbadecd1b,LOC005,2022-03-18 08:02:41,Deluxe,LICENSE_PLATE,2026-03-10 09:00:23
3724e578-6fbd-49bc-abb4-28c264e1c78e,1a564902-1807-4c50-b6e0-5dfecc8f8ade,LOC005,2022-09-24 17:01:31,Deluxe,LICENSE_PLATE,2026-03-10 09:00:23
79220f01-31e5-4e4c-95d9-f8efe6e9396d,9bcf253c-d9e4-479c-ba5d-9dbeb36ba15c,LOC007,2022-11-07 19:51:43,Ultimate,APP,2026-03-10 09:00:23
29b627c0-9a6a-4f65-8162-d4f90f50d3f4,1673eaaa-b9cd-46c5-8ed5-69d9dddee2af,LOC008,2024-11-01 09:28:26,Basic,LICENSE_PLATE,2026-03-10 09:00:23
6b891990-60cc-47f7-8eae-41fe1e14f26c,937f1ef8-2d0e-4d20-bf12-34eb6725d145,LOC006,2023-02-23 12:55:45,Deluxe,LICENSE_PLATE,2026-03-10 09:00:23
c9f7136f-f093-4157-ba13-f05a64278b65,25f293ce-cb3f-44e3-94f3-d7d82c968575,LOC002,2022-01-17 19:23:32,Deluxe,APP,2026-03-10 09:00:23
ed9bf090-f563-4b88-aa87-158e3b01a8cc,c193c513-aaa5-43a1-8288-c011a54b70cc,LOC002,2024-04-22 14:15:09,Ultimate,APP,2026-03-10 09:00:23
9d15d2ee-a5d8-4c1e-ac2a-de781befa331,68c77a1f-f60f-4992-b2d7-c7ac7023964c,LOC003,2022-10-09 10:55:57,Ultimate,RFID,2026-03-10 09:00:23
f9e774a6-0245-4de9-8ad3-03eff6aee22f,22e0693e-f83e-4950-83b3-8514e3dfaa5a,LOC008,2024-11-11 10:48:10,Ultimate,WALK_UP,2026-03-10 09:00:23
a7b10534-0868-4f26-bc14-d96ae4dc6dd8,c193c513-aaa5-43a1-8288-c011a54b70cc,LOC007,2024-12-25 14:01:05,Ultimate,LICENSE_PLATE,2026-03-10 09:00:23
03e34d52-1e90-4ea1-bb9e-509da575ff7f,12ffb1e4-a479-4df5-8c35-a5b2f7f1ac96,LOC005,2025-06-02 12:03:03,Deluxe,LICENSE_PLATE,2026-03-10 09:00:23
839a84ac-0323-4989-899f-ce87bf237231,ae1e9c5f-2bde-45e2-b388-8c3f3a513e00,LOC002,2025-07-01 11:34:00,Deluxe,LICENSE_PLATE,2026-03-10 09:00:23
d9ed9d6c-34e4-40e6-b55d-adc3307df4a5,b0b8f78a-ed2e-4729-b775-98562ddb5504,LOC001,2023-12-08 19:25:23,Ultimate,LICENSE_PLATE,2026-03-10 09:00:23
09c22dd9-76f9-4ee3-8d1d-1e0ee9632b49,8a575ae2-5f80-43d8-ae1f-85e332c8319b,LOC002,2022-02-11 12:35:18,Ultimate,LICENSE_PLATE,2026-03-10 09:00:23
a237d9c3-0334-43fa-b99e-9582e663a269,fe1f8c1c-4f80-48c8-84e3-3288f48a12fb,LOC002,2025-01-11 11:52:39,Deluxe,APP,2026-03-10 09:00:23
a87210fa-c53d-455d-8684-ab9a8e52a6ae,a17f2daf-a7dc-4027-979b-8bd184aac087,LOC006,2023-03-10 19:21:35,Basic,RFID,2026-03-10 09:00:23
83563e46-ad03-4765-91fb-3cacf1ce6278,51f1352e-d9c5-465d-b299-8721587b78c8,LOC001,2025-07-28 13:32:02,Deluxe,APP,2026-03-10 09:00:23
ee5c02cf-e0c2-4ff0-9bb8-1af49d830b9a,3019576a-5da6-4d4f-9ab8-1dc9e1b6950e,LOC003,2023-09-29 15:29:09,Basic,APP,2026-03-10 09:00:23
fda5c40c-2481-4dc9-a395-c7b0cfb87873,c4364337-7712-4541-8ba3-19d0304f2dd3,LOC005,2022-04-12 13:39:47,Deluxe,LICENSE_PLATE,2026-03-10 09:00:23
