transaction_id,member_id,location_id,transacted_at,amount,transaction_type,plan_code,_loaded_at
5a548730-7cd7-4e4f-9450-6fee1f587937,ec0b9e5d-396a-41fb-b53c-b8227cb19482,LOC004,2024-01-22 16:36:00,24.99,SIGNUP,DELUXE,2026-03-10 09:00:23
bb10adc0-393a-4880-b43f-ef709dd31689,ec0b9e5d-396a-41fb-b53c-b8227cb19482,LOC004,2024-02-22 03:52:00,24.99,RENEWAL,DELUXE,2026-03-10 09:00:23
e7763c97-0b92-4bed-b273-2fb0991af7d4,ec0b9e5d-396a-41fb-b53c-b8227cb19482,LOC004,2024-03-22 00:33:00,24.99,RENEWAL,DELUXE,2026-03-10 09:00:23
bd9aac70-1df6-4d21-af91-d403819689c2,ec0b9e5d-396a-41fb-b53c-b8227cb19482,LOC004,2024-04-22 06:18:00,24.99,RENEWAL,DELUXE,2026-03-10 09:00:23
be68a332-b1a7-4424-8e40-048ccfc79456,09dd5181-fab7-4c89-905e-4b65e8545044,LOC001,2024-02-24 09:59:00,24.99,SIGNUP,DELUXE,2026-03-10 09:00:23
b9dc8a6e-d6f3-4bc1-bd2f-9757e64ec6fb,09dd5181-fab7-4c89-905e-4b65e8545044,LOC001,2024-03-24 16:54:00,24.99,RENEWAL,DELUXE,2026-03-10 09:00:23
3503dd94-e5dd-416e-8c8a-1aaffcf3e125,09dd5181-fab7-4c89-905e-4b65e8545044,LOC001,2024-04-24 11:44:00,24.99,RENEWAL,DELUXE,2026-03-10 09:00:23
72e98669-7d04-4852-8e23-eaf2ab678c2f,09dd5181-fab7-4c89-905e-4b65e8545044,LOC001,2024-05-24 14:43:00,24.99,RENEWAL,DELUXE,2026-03-10 09:00:23
596e797f-f0c8-4ee9-944e-adf41081c3a6,09dd5181-fab7-4c89-905e-4b65e8545044,LOC001,2024-06-24 05:53:00,24.99,RENEWAL,DELUXE,2026-03-10 09:00:23
49b99d5d-58c7-4b55-8ee3-8365ce272c39,09dd5181-fab7-4c89-905e-4b65e8545044,LOC001,2024-07-24 12:27:00,24.99,RENEWAL,DELUXE,2026-03-10 09:00:23
30be9ce6-aea5-4f7b-98d9-ba6ea6f746cd,09dd5181-fab7-4c89-905e-4b65e8545044,LOC001,2024-08-24 07:26:00,24.99,RENEWAL,DELUXE,2026-03-10 09:00:23
dcf876e3-fd01-466e-8762-b5503b39864f,09dd5181-fab7-4c89-905e-4b65e8545044,LOC001,2024-09-24 10:07:00,24.99,RENEWAL,DELUXE,2026-03-10 09:00:23
eee64fe6-90a1-4fe7-a921-2951ff8ad7fb,f7bacbbf-5d98-4ea2-a2b9-77caf1747579,LOC008,2021-11-23 13:45:00,34.99,SIGNUP,ULTIMATE,2026-03-10 09:00:23
95b1db2e-c78c-4165-a274-fdbb29ddbf01,f7bacbbf-5d98-4ea2-a2b9-77caf1747579,LOC008,2021-12-23 17:46:00,34.99,RENEWAL,ULTIMATE,2026-03-10 09:00:23
cf8b45ba-8c61-46f5-a596-c1f63e6ae53b,f7bacbbf-5d98-4ea2-a2b9-77caf1747579,LOC008,2022-01-23 10:31:00,34.99,RENEWAL,ULTIMATE,2026-03-10 09:00:23
77c509db-a2b0-4ed3-914b-e14cf9a3620b,f7bacbbf-5d98-4ea2-a2b9-77caf1747579,LOC008,2022-02-23 09:29:00,34.99,RENEWAL,ULTIMATE,2026-03-10 09:00:23
12354ebc-d354-4350-9a71-da52bd5eec22,f7bacbbf-5d98-4ea2-a2b9-77caf1747579,LOC008,2022-03-23 09:43:00,34.99,RENEWAL,ULTIMATE,2026-03-10 09:00:23
9255fa22-75fa-4daa-8b2a-213f931a160e,f7bacbbf-5d98-4ea2-a2b9-77caf1747579,LOC008,2022-04-23 14:14:00,34.99,RENEWAL,ULTIMATE,2026-03-10 09:00:23
120f979b-071f-48ff-8e9b-9f9ac36fde11,f7bacbbf-5d98-4ea2-a2b9-77caf1747579,LOC008,2022-05-23 09:54:00,34.99,RENEWAL,ULTIMATE,2026-03-10 09:00:23
f03c25b0-2f30-4c89-9363-d1a15e8d5c45,f7bacbbf-5d98-4ea2-a2b9-77caf1747579,LOC008,2022-06-23 02:57:00,34.99,RENEWAL,ULTIMATE,2026-03-10 09:00:23
65767336-3e42-4768-9c4d-5a56cf9ba06f,f7bacbbf-5d98-4ea2-a2b9-77caf1747579,LOC008,2022-07-23 15:43:00,34.99,RENEWAL,ULTIMATE,2026-03-10 09:00:23
be6c45a2-8b72-4e88-bb35-2feebf4b87ed,f7bacbbf-5d98-4ea2-a2b9-77caf1747579,LOC008,2022-08-23 00:43:00,34.99,RENEWAL,ULTIMATE,2026-03-10 09:00:23
62ba89e1-d556-4a74-a922-7089b935fd36,f7bacbbf-5d98-4ea2-a2b9-77caf1747579,LOC008,2022-09-23 03:25:00,34.99,RENEWAL,ULTIMATE,2026-03-10 09:00:23
58fb7ecc-890d-4a4d-8853-3014fb65dbcc,6f2e1fc3-e79e-41b4-92d3-2a8fd3bba64b,LOC002,2021-07-18 09:09:00,14.99,SIGNUP,BASIC,2026-03-10 09:00:23
5902a0bc-640f-4e13-9eb0-e15738ff5b10,6f2e1fc3-e79e-41b4-92d3-2a8fd3bba64b,LOC002,2021-08-18 12:44:00,14.99,RENEWAL,BASIC,2026-03-10 09:00:23
550fb226-4677-43f6-acd4-b1bafd6b18ab,6f2e1fc3-e79e-41b4-92d3-2a8fd3bba64b,LOC002,2021-09-18 03:47:00,14.99,RENEWAL,BASIC,2026-03-10 09:00:23
992d993c-9e5e-4bb7-aa56-9a3f600765c5,6f2e1fc3-e79e-41b4-92d3-2a8fd3bba64b,LOC002,2021-10-18 05:04:00,14.99,RENEWAL,BASIC,2026-03-10 09:00:23
